iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita
USA,North America,United States,11/16/2020,11037061,132170,246214,614,33344.329,399.302,743.843,1.855,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/15/2020,10904891,165277,245600,1255,32945.027,499.322,741.988,3.792,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/14/2020,10739614,184813,244345,1915,32445.704,558.343,738.197,5.785,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/13/2020,10554801,153669,242430,630,31887.361,464.253,732.411,1.903,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/12/2020,10401132,143306,241800,2117,31423.108,432.945,730.508,6.396,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/11/2020,10257826,147274,239683,1432,30990.163,444.933,724.112,4.326,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/10/2020,10110552,138901,238251,679,30545.23,419.637,719.786,2.051,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/9/2020,9971651,110693,237572,459,30125.593,334.417,717.734,1.387,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/8/2020,9860958,121413,237113,1014,29791.176,366.804,716.348,3.063,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/7/2020,9739545,130623,236099,1162,29424.372,394.628,713.284,3.511,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/6/2020,9608922,122436,234937,1208,29029.744,369.894,709.774,3.65,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/5/2020,9486486,102507,233729,1102,28659.849,309.686,706.124,3.329,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/4/2020,9383979,92734,232627,1076,28350.163,280.161,702.795,3.251,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/3/2020,9291245,83883,231551,555,28070.002,253.421,699.544,1.677,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/2/2020,9207362,81001,230996,440,27816.581,244.714,697.868,1.329,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,11/1/2020,9126361,78934,230556,848,27571.867,238.469,696.538,2.562,331002647,35.608,38.3,15.413,9.732,54225.446
USA,North America,United States,10/31/2020,9047427,101273,229708,1040,27333.398,305.958,693.976,3.142,331002647,35.608,38.3,15.413,9.732,54225.446
